0.00;0.00
73.20;400.00;400.00
73.30;400.00;400.00
73.40;400.00;400.00
73.50;400.00;400.00
73.60;400.00;400.00
73.70;400.00;400.00
73.80;400.00;400.00
73.90;400.00;400.00
74.00;400.00;400.00
74.10;400.00;400.00
74.20;400.00;400.00
74.30;400.00;400.00
74.40;400.00;400.00
74.50;400.00;400.00
74.60;400.00;400.00
74.70;400.00;400.00
74.80;400.00;400.00
74.90;400.00;400.00
75.00;400.00;400.00
75.10;400.00;400.00
75.20;400.00;400.00
75.30;400.00;400.00
75.40;400.00;400.00
75.50;400.00;400.00
75.60;400.00;400.00
75.70;400.00;400.00
75.80;400.00;400.00
75.90;400.00;400.00
76.00;400.00;400.00
76.10;400.00;400.00
76.20;400.00;400.00
76.30;400.00;400.00
76.40;400.00;400.00
76.50;400.00;400.00
76.60;400.00;400.00
76.70;400.00;400.00
76.80;400.00;400.00
76.90;400.00;400.00
77.00;400.00;400.00
77.10;400.00;400.00
77.20;400.00;400.00
77.30;400.00;400.00
77.40;400.00;400.00
77.50;400.00;400.00
77.60;400.00;400.00
77.70;400.00;400.00
77.80;400.00;400.00
77.90;400.00;400.00
78.00;400.00;400.00
78.10;400.00;400.00
78.20;400.00;400.00
78.30;400.00;400.00
78.40;400.00;400.00
78.50;400.00;400.00
78.60;400.00;400.00
78.70;400.00;400.00
78.80;400.00;400.00
78.90;400.00;400.00
79.00;400.00;400.00
79.10;400.00;400.00
79.20;400.00;400.00
79.30;400.00;400.00
79.40;400.00;400.00
79.50;400.00;400.00
79.60;400.00;400.00
79.70;400.00;400.00
79.80;400.00;400.00
79.90;400.00;400.00
80.00;400.00;400.00
80.10;400.00;400.00
80.20;400.00;400.00
80.30;400.00;400.00
80.40;400.00;400.00
80.50;400.00;400.00
80.60;400.00;400.00
80.70;400.00;400.00
80.80;400.00;400.00
80.90;400.00;400.00
81.00;400.00;400.00
81.10;400.00;400.00
81.20;400.00;400.00
81.30;400.00;400.00
81.40;400.00;400.00
81.50;400.00;400.00
81.60;400.00;400.00
81.70;400.00;400.00
81.80;400.00;400.00
81.90;400.00;400.00
82.00;400.00;400.00
82.10;400.00;400.00
82.20;400.00;400.00
82.30;400.00;400.00
82.40;400.00;400.00
82.50;400.00;400.00
82.60;400.00;400.00
82.70;400.00;400.00
82.80;400.00;400.00
82.90;400.00;400.00
83.00;400.00;400.00
83.10;400.00;400.00
83.20;400.00;400.00
83.30;400.00;400.00
83.40;400.00;400.00
83.50;400.00;400.00
83.60;400.00;400.00
83.70;400.00;400.00
83.80;400.00;400.00
83.90;400.00;400.00
84.00;400.00;400.00
84.10;400.00;400.00
84.20;400.00;400.00
84.30;400.00;400.00
84.40;400.00;400.00
84.50;400.00;400.00
84.60;400.00;400.00
84.70;400.00;400.00
84.80;400.00;400.00
84.90;400.00;400.00
85.00;400.00;400.00
85.10;400.00;400.00
85.20;400.00;400.00
85.30;400.00;400.00
85.40;400.00;400.00
85.50;400.00;400.00
85.60;400.00;400.00
85.70;400.00;400.00
85.80;400.00;400.00
85.90;400.00;400.00
86.00;400.00;400.00
86.10;400.00;400.00
86.20;400.00;400.00
86.30;400.00;400.00
86.40;400.00;400.00
86.50;400.00;400.00
86.60;400.00;400.00
86.70;400.00;400.00
86.80;400.00;400.00
86.90;400.00;400.00
87.00;400.00;400.00
87.10;400.00;400.00
87.20;400.00;400.00
87.30;400.00;400.00
87.40;400.00;400.00
87.50;400.00;400.00
87.60;400.00;400.00
87.70;400.00;400.00
87.80;400.00;400.00
87.90;400.00;400.00
88.00;400.00;400.00
88.10;400.00;400.00
88.20;400.00;400.00
88.30;400.00;400.00
88.40;400.00;400.00
88.50;400.00;400.00
88.60;400.00;400.00
88.70;400.00;400.00
88.80;400.00;400.00
88.90;400.00;400.00
89.00;400.00;400.00
89.10;400.00;400.00
89.20;400.00;400.00
89.30;400.00;400.00
89.40;400.00;400.00
89.50;400.00;400.00
89.60;400.00;400.00
89.70;400.00;400.00
89.80;400.00;400.00
89.90;400.00;400.00
90.00;400.00;400.00
90.10;400.00;400.00
90.20;400.00;400.00
90.30;400.00;400.00
90.40;400.00;400.00
90.50;400.00;400.00
90.60;400.00;400.00
90.70;400.00;400.00
90.80;400.00;400.00
90.90;400.00;400.00
91.00;400.00;400.00
91.10;400.00;400.00
91.20;400.00;400.00
91.30;400.00;400.00
91.40;400.00;400.00
91.50;400.00;400.00
91.60;400.00;400.00
91.70;400.00;400.00
91.80;400.00;400.00
91.90;400.00;400.00
92.00;400.00;400.00
92.10;400.00;400.00
92.20;400.00;400.00
92.30;400.00;400.00
92.40;400.00;400.00
92.50;400.00;400.00
92.60;400.00;400.00
92.70;400.00;400.00
92.80;400.00;400.00
92.90;400.00;400.00
93.00;400.00;400.00
93.10;400.00;400.00
93.20;400.00;400.00
93.30;400.00;400.00
93.40;400.00;400.00
93.50;400.00;400.00
93.60;400.00;400.00
93.70;400.00;400.00
93.80;400.00;400.00
93.90;400.00;400.00
94.00;400.00;400.00
94.10;400.00;400.00
94.20;400.00;400.00
94.30;400.00;400.00
94.40;400.00;400.00
94.50;400.00;400.00
94.60;400.00;400.00
94.70;400.00;400.00
94.80;400.00;400.00
94.90;400.00;400.00
95.00;400.00;400.00
95.10;400.00;400.00
95.20;400.00;400.00
95.30;400.00;400.00
95.40;400.00;400.00
95.50;400.00;400.00
95.60;400.00;400.00
95.70;400.00;400.00
95.80;400.00;400.00
95.90;400.00;400.00
96.00;400.00;400.00
96.10;400.00;400.00
96.20;400.00;400.00
96.30;400.00;400.00
96.40;400.00;400.00
96.50;400.00;400.00
96.60;400.00;400.00
96.70;400.00;400.00
96.80;400.00;400.00
96.90;400.00;400.00
97.00;400.00;400.00
97.10;400.00;400.00
97.20;400.00;400.00
97.30;400.00;400.00
97.40;400.00;400.00
97.50;400.00;400.00
97.60;400.00;400.00
97.70;400.00;400.00
97.80;400.00;400.00
97.90;400.00;400.00
98.00;400.00;400.00
98.10;400.00;400.00
98.20;400.00;400.00
98.30;400.00;400.00
98.40;400.00;400.00
98.50;400.00;400.00
98.60;400.00;400.00
98.70;400.00;400.00
98.80;400.00;400.00
98.90;400.00;400.00
99.00;400.00;400.00
99.10;400.00;400.00
99.20;400.00;400.00
99.30;400.00;400.00
99.40;400.00;400.00
99.50;400.00;400.00
99.60;400.00;400.00
99.70;400.00;400.00
99.80;400.00;400.00
99.90;400.00;400.00
100.00;400.00;400.00
100.10;400.00;400.00
100.20;400.00;400.00
100.30;400.00;400.00
100.40;400.00;400.00
100.50;400.00;400.00
100.60;400.00;400.00
100.70;400.00;400.00
100.80;400.00;400.00
100.90;400.00;400.00
101.00;400.00;400.00
101.10;400.00;400.00
101.20;400.00;400.00
101.30;400.00;400.00
101.40;400.00;400.00
101.50;400.00;400.00
101.60;400.00;400.00
101.70;400.00;400.00
101.80;400.00;400.00
101.90;400.00;400.00
102.00;400.00;400.00
102.10;400.00;400.00
102.20;400.00;400.00
102.30;400.00;400.00
102.40;400.00;400.00
102.50;400.00;400.00
102.60;400.00;400.00
102.70;400.00;400.00
102.80;400.00;400.00
102.90;400.00;400.00
103.00;400.00;400.00
103.10;400.00;400.00
103.20;400.00;400.00
103.30;400.00;400.00
103.40;400.00;400.00
103.50;400.00;400.00
103.60;400.00;400.00
103.70;400.00;400.00
103.80;400.00;400.00
103.90;400.00;400.00
104.00;400.00;400.00
104.10;400.00;400.00
104.20;400.00;400.00
104.30;400.00;400.00
104.40;400.00;400.00
104.50;400.00;400.00
104.60;400.00;400.00
104.70;400.00;400.00
104.80;400.00;400.00
104.90;400.00;400.00
105.00;400.00;400.00
105.10;400.00;400.00
105.20;400.00;400.00
105.30;400.00;400.00
105.40;400.00;400.00
105.50;400.00;400.00
105.60;400.00;400.00
105.70;400.00;400.00
105.80;400.00;400.00
105.90;400.00;400.00
106.00;400.00;400.00
106.10;400.00;400.00
106.20;400.00;400.00
106.30;400.00;400.00
106.40;400.00;400.00
106.50;400.00;400.00
106.60;400.00;400.00
106.70;400.00;400.00
106.80;400.00;400.00
106.90;400.00;400.00
107.00;400.00;400.00
107.10;400.00;400.00
107.20;400.00;400.00
107.30;400.00;400.00
107.40;400.00;400.00
107.50;400.00;400.00
107.60;400.00;400.00
107.70;400.00;400.00
107.80;400.00;400.00
107.90;400.00;400.00
108.00;400.00;400.00
108.10;400.00;400.00
108.20;400.00;400.00
